BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,FOREST HILLS,08 RENTALS - ELEVATOR APARTMENTS,2,2224,16,,D1,108-24 71ST AVE,,11375,66,0,66,17500,65500,1940,2,D1,0,2023-01-01
4,FOREST HILLS,08 RENTALS - ELEVATOR APARTMENTS,2,3340,13,,D1,111-32 76TH AVE,,11375,74,0,74,22000,75455,1938,2,D1,0,2023-01-01
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,3799,33,,B1,79-56 68TH ROAD,,11379,2,0,2,2000,1640,1950,1,B1,0,2023-01-01
4,EAST ELMHURST,01 ONE FAMILY DWELLINGS,1,1378,38,,A5,27-16 99TH STREET,,11369,1,0,1,1754,1890,1930,1,A5,100,2023-01-02
4,MASPETH,30 WAREHOUSES,4,2573,207,,E1,56-30 56TH STREET,,11378,0,1,1,3145,3136,1986,4,E1,0,2023-01-02
4,MASPETH,30 WAREHOUSES,4,2573,210,,E1,56-32 56TH STREET,,11378,0,1,1,3057,2852,1986,4,E1,0,2023-01-02
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4867,4,,A2,26-11 157TH STREET,,11354,1,0,1,4297,1162,1950,1,A2,0,2023-01-02
4,FLUSHING-SOUTH,03 THREE FAMILY DWELLINGS,1,6664,48,,C0,144-19 75TH ROAD,,11367,3,0,3,2870,2536,1970,1,C0,0,2023-01-02
4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS,1,11770,37,,B3,131-12 SUTTER AVE,,11420,2,0,2,2798,1776,1925,1,B3,0,2023-01-02
4,LONG ISLAND CITY,02 TWO FAMILY DWELLINGS,1,360,26,,B2,37-14 11TH STREET,,11101,2,0,2,4292,2000,1905,1,B2,1300000,2023-01-03
4,ASTORIA,14 RENTALS - 4-10 UNIT,2A,664,36,,S3,28-38 42ND STREET,,11103,3,1,4,2500,3018,1966,2,S3,0,2023-01-03
4,ASTORIA,01 ONE FAMILY DWELLINGS,1,698,36,,A1,28-40 43RD STREET,,11103,1,0,1,2492,1880,1954,1,A1,1031000,2023-01-03
4,ASTORIA,03 THREE FAMILY DWELLINGS,1,719,10,,C0,28-37 45TH STREET,,11103,3,0,3,2500,2800,1960,1,C0,0,2023-01-03
4,ASTORIA,13 CONDOS - ELEVATOR APARTMENTS,2,905,1147,,R4,"25-40 SHORE BLVD, 7N",7N,11102,1,,1,,,1989,2,R4,0,2023-01-03
4,JACKSON HEIGHTS,03 THREE FAMILY DWELLINGS,1,1006,51,,C0,74-09 ASTORIA BOULEVARD NO,,11370,3,0,3,2319,1465,1970,1,C0,10,2023-01-03
4,WOODSIDE,03 THREE FAMILY DWELLINGS,1,1299,53,,C0,40-48 68TH STREET,,11377,3,0,3,1915,3680,2017,1,C0,0,2023-01-03
4,WOODSIDE,03 THREE FAMILY DWELLINGS,1,1299,54,,C0,40-50 68TH STREET,,11377,3,0,3,2029,4000,2017,1,C0,0,2023-01-03
4,ELMHURST,13 CONDOS - ELEVATOR APARTMENTS,2,1352,1028,,R4,"70-65 QUEENS BOULEVARD, 5A",5A,11377,1,,1,,,2021,2,R4,491790,2023-01-03
4,ELMHURST,13 CONDOS - ELEVATOR APARTMENTS,2,1352,1037,,R4,"70-65 QUEENS BOULEVARD, 5J",5J,11377,1,,1,,,2021,2,R4,466440,2023-01-03
4,JACKSON HEIGHTS,02 TWO FAMILY DWELLINGS,1,1466,66,,B1,35-11 92ND STREET,,11372,2,0,2,2500,2394,1920,1,B1,0,2023-01-03
4,EAST ELMHURST,02 TWO FAMILY DWELLINGS,1,1664,53,,B2,2737 CURTIS STREET,,11369,2,0,2,4000,2475,1925,1,B2,1350000,2023-01-03
4,EAST ELMHURST,02 TWO FAMILY DWELLINGS,1,1690,34,,B1,3150 104 STREET,,11369,2,0,2,2000,2306,1920,1,B1,0,2023-01-03
4,CORONA,02 TWO FAMILY DWELLINGS,1,1966,75,,B3,58-03 WALDRON STREET,,11368,2,0,2,2500,1634,1910,1,B3,1450000,2023-01-03
4,FOREST HILLS,13 CONDOS - ELEVATOR APARTMENTS,2,2220,1064,,R4,"69-45 108TH STREET, 1H",1H,11375,1,,1,,,1955,2,R4,0,2023-01-03
4,FOREST HILLS,01 ONE FAMILY DWELLINGS,1,2229,16,,A3,110-20 69TH AVE,,11375,1,0,1,5000,2394,1935,1,A3,1900000,2023-01-03
4,FOREST HILLS,13 CONDOS - ELEVATOR APARTMENTS,2,2264,1313,,R4,"75-58 113 ST, 7",7,11375,1,,1,,,,2,R4,485000,2023-01-03
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,3019,14,,A5,64-67 82ND PLACE,,11379,1,0,1,1975,1358,1940,1,A5,680000,2023-01-03
4,REGO PARK,10 COOPS - ELEVATOR APARTMENTS,2,3170,1,,D4,"100-11 67TH ROAD, 204",,11375,,,,,,1950,2,D4,342500,2023-01-03
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS,2A,3469,23,,C3,1876 PALMETTO STREET,,11385,4,0,4,2500,2750,1930,2,C3,0,2023-01-03
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS,2A,3489,4,,C2,20-10 PALMETTO STREET,,11385,6,0,6,2742,5600,1930,2,C2,0,2023-01-03
4,RIDGEWOOD,02 TWO FAMILY DWELLINGS,1,3556,56,,B1,1114 CYPRESS AVENUE,,11385,2,0,2,2500,2250,1910,1,B1,1062000,2023-01-03
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,4900,40,,A0,25-12 166TH STREET,,11358,1,0,1,4000,1393,1950,1,A0,0,2023-01-03
4,FLUSHING-NORTH,11 SPECIAL CONDO BILLING LOTS,2,4972,1640,,RR,"133-36 37TH AVENUE, 6L",6L,11354,1,0,1,85137,499,2016,2,RR,722057,2023-01-03
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS,2,5028,7,,D4,"38-15 149TH STREET, 1A",,11354,,,,,,1955,2,D4,307000,2023-01-03
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS,2,5137,11,,D4,"42-55 COLDEN STREET, 9J",,11355,,,,,,1962,2,D4,0,2023-01-03
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,2,5181,1014,,R4,"42-47 UNION STREET, 6B",6B,11355,1,,1,,,2005,2,R4,600000,2023-01-03
4,FLUSHING-NORTH,13 CONDOS - ELEVATOR APARTMENTS,2,5181,1253,,R4,"41-62 BOWNE STREET, 9A",9A,11355,1,,1,,,2019,2,R4,731104,2023-01-03
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5235,17,,A1,152-06 33RD AVENUE,,11354,1,0,1,2525,1488,1935,1,A1,988500,2023-01-03
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5652,30,,A2,196-07 WEEKS LANE,,11365,1,0,1,4144,1040,1950,1,A2,940000,2023-01-03
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,6054,55,,A1,29-40 214TH STREET,,11360,1,0,1,5767,2360,1925,1,A1,1398888,2023-01-03
4,FLUSHING-SOUTH,09 COOPS - WALKUP APARTMENTS,2,6485,3,,C6,"68-41 138TH STREET, A",,11367,,,,,,1950,2,C6,335000,2023-01-03
4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,1,6962,46,,A5,70-20 175TH STREET,,11365,1,0,1,1800,1683,1940,1,A5,865000,2023-01-03
4,FRESH MEADOWS,01 ONE FAMILY DWELLINGS,1,7169,36,,A1,73-24 182ND STREET,,11366,1,0,1,4230,1841,1940,1,A1,1350000,2023-01-03
4,OAKLAND GARDENS,09 COOPS - WALKUP APARTMENTS,2,7670,2,,C6,"67-03A 223RD PLACE, 67-03",,11364,,,,,,1949,2,C6,385000,2023-01-03
4,OAKLAND GARDENS,10 COOPS - ELEVATOR APARTMENTS,2,7732,150,,D4,"211-01 75TH AVENUE, 4P",,11364,,,,,,1952,2,D4,200000,2023-01-03
4,LITTLE NECK,01 ONE FAMILY DWELLINGS,1,8254,54,,A3,54-27 252ND STREET,,11362,1,0,1,4000,2050,1960,1,A3,1130000,2023-01-03
4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS,2,8489,1,,D4,"270-10 GRAND CENTRAL PARKWAY, 7H",,11005,,,,,,1972,2,D4,0,2023-01-03
4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS,2,8489,1,,D4,"270-10 GRAND CENTRAL PKWY., 32H",,11005,,,,,,1972,2,D4,515000,2023-01-03
